,fraud_reported
82,0
991,0
789,0
894,0
398,0
323,0
519,0
916,0
922,0
5,1
731,0
465,0
97,1
266,1
357,0
868,1
798,0
380,0
631,0
381,0
490,0
118,0
900,0
250,1
523,0
9,0
196,1
603,0
81,0
783,0
587,1
797,0
239,0
290,0
211,0
717,0
359,0
449,0
227,1
950,0
946,1
796,1
501,0
464,0
362,0
468,0
935,1
428,1
7,0
155,1
541,0
440,0
482,1
422,0
778,0
949,0
334,0
576,0
934,0
567,1
594,0
530,0
581,0
707,1
448,0
453,0
228,0
352,0
728,1
212,0
79,1
148,1
302,0
628,1
777,0
506,0
342,1
485,0
711,0
133,0
703,1
311,1
722,1
629,1
0,1
316,0
706,0
547,1
872,1
532,0
477,1
404,1
172,0
125,0
394,1
420,0
552,1
903,0
90,0
939,1
181,0
274,0
895,1
69,0
291,0
131,0
300,0
424,1
326,0
144,0
423,0
580,0
135,1
450,0
164,0
28,0
773,0
193,0
388,0
852,0
169,0
705,1
140,0
173,0
6,0
745,1
478,1
73,0
910,0
813,0
238,0
145,1
792,0
234,1
220,1
923,0
500,0
132,0
990,0
774,0
185,1
41,1
696,0
108,1
588,0
56,0
405,0
442,1
757,0
997,0
24,0
467,0
539,0
531,0
618,0
694,0
926,1
338,0
51,0
507,0
516,0
920,0
781,0
264,0
817,1
710,1
682,0
832,0
518,0
447,0
18,0
715,1
483,0
568,0
433,0
367,0
83,0
61,0
638,1
272,1
285,0
360,1
354,0
456,0
278,1
12,0
182,0
368,1
881,1
615,0
223,0
572,0
970,0
653,0
545,0
582,0
633,1
176,0
665,1
673,0
585,0
873,0
393,0
163,1
248,0
634,0
885,0
669,0
375,0
412,0
74,0
113,0
598,0
961,0
390,0
104,0
114,0
417,0
525,0
457,1
409,0
92,0
930,1
89,1
336,0
988,0
921,0
933,0
605,0
593,1
611,0
94,0
11,0
396,0
533,0
43,0
42,0
329,1
167,0
497,0
876,0
597,1
756,0
100,0
426,0
178,0
444,0
416,0
870,0
882,0
680,0
177,0
395,0
911,0
793,0
960,0
684,1
383,1
956,0
751,0
257,1
538,1
335,0
15,1
324,1
758,0
222,0
179,0
983,0
22,1
356,0
666,1
861,0
340,1
431,0
551,0
833,0
203,0
630,0
93,0
558,1
68,0
622,0
284,0
844,0
434,0
153,0
75,0
730,0
446,0
188,1
271,0
236,0
487,0
117,1
943,0
512,0
825,0
591,1
126,0
116,0
473,0
693,0
57,0
863,0
912,1
369,0
268,0
46,0
349,1
195,0
999,0
834,0
736,0
263,0
443,0
675,0
304,0
341,0
966,0
149,1
124,0
786,0
50,0
353,0
927,1
142,0
470,1
399,0
625,0
320,0
19,0
809,1
790,0
808,0
407,0
537,0
620,1
38,0
175,0
245,1
828,0
667,0
754,0
858,0
154,1
287,0
602,1
569,0
743,1
17,0
127,0
322,0
255,0
657,1
964,1
190,0
115,1
616,1
606,0
180,0
301,0
759,0
712,1
723,0
685,0
979,0
517,1
984,0
45,0
909,0
157,0
851,1
171,1
16,0
511,0
48,0
971,0
940,0
515,0
952,0
480,0
283,1
718,0
877,0
225,0
26,0
954,0
437,1
951,0
364,1
229,0
37,0
965,0
374,0
469,0
967,1
850,0
704,1
841,0
194,0
854,0
864,0
503,0
969,0
830,0
579,1
968,0
162,0
908,0
152,1
801,0
993,0
755,0
111,1
226,0
688,0
103,0
421,0
419,0
750,0
586,0
780,0
672,0
119,0
53,0
151,0
403,0
945,0
207,0
658,0
843,1
762,1
8,0
807,0
36,1
452,0
651,0
253,1
303,0
746,0
571,0
623,1
732,0
891,0
262,1
610,0
297,0
414,0
150,0
788,1
640,0
889,0
550,0
886,0
488,0
147,0
146,1
720,0
931,0
739,0
659,0
348,0
463,0
325,0
186,0
123,0
853,0
608,0
143,1
958,0
197,0
609,0
279,0
293,0
400,0
122,1
183,1
202,0
438,0
246,0
415,0
932,0
765,0
906,0
835,0
887,0
129,1
637,0
402,1
784,1
770,0
735,0
913,0
219,0
641,0
915,1
752,0
806,0
919,1
624,0
874,0
760,0
386,0
972,1
509,0
267,0
819,0
441,0
496,0
112,0
691,1
232,0
869,1
607,0
671,0
373,1
981,0
842,0
233,0
785,1
676,0
317,0
648,0
410,0
898,0
709,1
358,1
258,0
744,1
627,0
632,0
282,0
376,0
384,0
224,0
953,0
814,0
472,0
347,0
505,0
639,0
987,1
928,0
905,1
619,0
855,0
803,1
645,0
846,0
556,0
957,0
577,1
795,0
85,0
242,0
698,0
159,0
524,0
35,1
540,0
170,0
654,0
890,0
857,0
847,0
944,0
733,0
95,0
563,0
240,0
742,1
574,1
690,0
460,1
553,0
888,0
206,1
392,0
794,0
397,0
766,0
848,1
217,0
4,0
768,0
642,0
929,1
612,0
738,0
546,0
725,0
683,1
98,0
804,0
727,1
573,1
406,0
502,0
47,1
32,0
779,0
839,0
200,0
134,0
27,1
880,1
230,0
489,1
772,0
378,0
288,1
418,0
674,0
391,0
592,0
498,1
138,0
62,0
471,0
647,0
128,1
976,0
520,0
838,1
962,0
64,1
812,1
14,1
156,0
40,0
492,0
379,1
187,0
763,1
216,0
791,1
52,0
878,1
337,0
748,0
719,0
724,0
295,0
701,1
251,1
726,0
461,0
455,0
996,0
815,0
862,0
269,0
201,0
161,0
555,1
729,1
401,0
702,0
476,1
821,0
771,0
105,0
565,0
389,0
1,1
937,0
982,1
561,1
80,0
205,0
34,0
775,0
508,0
427,0
454,0
366,0
91,1
339,0
897,0
564,0
345,0
776,0
241,1
13,0
315,0
600,1
387,0
273,0
166,1
840,0
992,0
646,0
818,0
484,0
980,0
504,1
831,1
243,0
566,0
875,1
562,0
686,0
189,0
782,0
699,1
475,0
681,0
510,0
58,0
474,1
560,0
856,0
747,0
252,0
21,0
313,0
459,0
160,0
276,0
955,0
191,0
385,0
805,0
413,0
491,0
343,0
769,0
308,0
661,0
130,0
663,0
871,0
99,0
372,0
87,0
458,0
330,0
214,1
466,0
121,1
614,0
20,0
700,1
71,1
106,1
270,0
860,0
435,0
102,0
